,Type 1,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Type 1,1,0.141966959,-0.065155052,0.073195839,0.192665653,0.150322861,0.170149943,0.022600101,0.157365638,0.167088765
Total,0.141966959,1,0.618748354,0.736210652,0.612787429,0.747249861,0.71760947,0.575942655,0.048384024,0.501758383
HP,-0.065155052,0.618748354,1,0.422386029,0.239622319,0.362379857,0.378718069,0.175952062,0.058682508,0.273619558
Attack,0.073195839,0.736210652,0.422386029,1,0.438687055,0.396361755,0.263989551,0.381239739,0.051451337,0.345407976
Defense,0.192665653,0.612787429,0.239622319,0.438687055,1,0.223548609,0.510746589,0.015226598,0.042418567,0.2463768
Sp. Atk,0.150322861,0.747249861,0.362379857,0.396361755,0.223548609,1,0.506121421,0.473017884,0.036436829,0.448907256
Sp. Def,0.170149943,0.71760947,0.378718069,0.263989551,0.510746589,0.506121421,1,0.259133114,0.028485992,0.363937117
Speed,0.022600101,0.575942655,0.175952062,0.381239739,0.015226598,0.473017884,0.259133114,1,-0.02312106,0.326715295
Generation,0.157365638,0.048384024,0.058682508,0.051451337,0.042418567,0.036436829,0.028485992,-0.02312106,1,0.079793592
Legendary,0.167088765,0.501758383,0.273619558,0.345407976,0.2463768,0.448907256,0.363937117,0.326715295,0.079793592,1
