Generation,Legendary,Total,Sp. Atk,Sp. Def,Defense,Attack,HP,Speed,Type 1
1,0,318,65,65,49,49,45,45,1
1,0,405,80,80,63,62,60,60,1
1,0,525,100,100,83,82,80,80,1
1,0,625,122,120,123,100,80,80,1
1,0,309,60,50,43,52,39,65,2
1,0,405,80,65,58,64,58,80,2
1,0,534,109,85,78,84,78,100,2
1,0,634,130,85,111,130,78,100,2
1,0,634,159,115,78,104,78,100,2
1,0,314,50,64,65,48,44,43,3
1,0,405,65,80,80,63,59,58,3
1,0,530,85,105,100,83,79,78,3
1,0,630,135,115,120,103,79,78,3
1,0,195,20,20,35,30,45,45,9
1,0,205,25,25,55,20,50,30,9
1,0,395,90,80,50,45,60,70,9
1,0,195,20,20,30,35,40,50,9
1,0,205,25,25,50,25,45,35,9
1,0,395,45,80,40,90,65,75,9
1,0,495,15,80,40,150,65,145,9
1,0,251,35,35,40,45,40,56,0
1,0,349,50,50,55,60,63,71,0
1,0,479,70,70,75,80,83,101,0
1,0,579,135,80,80,80,83,121,0
1,0,253,25,35,35,56,30,72,0
1,0,413,50,70,60,81,55,97,0
1,0,262,31,31,30,60,40,70,0
1,0,442,61,61,65,90,65,100,0
1,0,288,40,54,44,60,35,55,6
1,0,438,65,79,69,85,60,80,6
1,0,320,50,50,40,55,35,90,11
1,0,485,90,80,55,90,60,110,11
1,0,300,20,30,85,75,50,40,7
1,0,450,45,55,110,100,75,65,7
1,0,275,40,40,52,47,55,41,6
1,0,365,55,55,67,62,70,56,6
1,0,505,75,85,87,92,90,76,6
1,0,273,40,40,40,57,46,50,6
1,0,365,55,55,57,72,61,65,6
1,0,505,85,75,77,102,81,85,6
1,0,323,60,65,48,45,70,35,17
1,0,483,95,90,73,70,95,60,17
1,0,299,50,65,40,41,38,65,2
1,0,505,81,100,75,76,73,100,2
1,0,270,45,25,20,45,115,20,0
1,0,435,85,50,45,70,140,45,0
1,0,245,30,40,35,45,40,55,6
1,0,455,65,75,70,80,75,90,6
1,0,320,75,65,55,50,45,30,1
1,0,395,85,75,70,65,60,40,1
1,0,490,110,90,85,80,75,50,1
1,0,285,45,55,55,70,35,25,9
1,0,405,60,80,80,95,60,30,9
1,0,305,40,55,50,55,60,45,9
1,0,450,90,75,60,65,70,90,9
1,0,265,35,45,25,55,10,95,7
1,0,405,50,70,50,80,35,120,7
1,0,290,40,40,35,45,40,90,0
1,0,440,65,65,60,70,65,115,0
1,0,320,65,50,48,52,50,55,3
1,0,500,95,80,78,82,80,85,3
1,0,305,35,45,35,80,40,70,4
1,0,455,60,70,60,105,65,95,4
1,0,350,70,50,45,70,55,60,2
1,0,555,100,80,80,110,90,95,2
1,0,300,40,40,40,50,40,90,3
1,0,385,50,50,65,65,65,90,3
1,0,510,70,90,95,95,90,70,3
1,0,310,105,55,15,20,25,90,12
1,0,400,120,70,30,35,40,105,12
1,0,500,135,95,45,50,55,120,12
1,0,590,175,95,65,50,55,150,12
1,0,305,35,35,50,80,70,35,4
1,0,405,50,60,70,100,80,45,4
1,0,505,65,85,80,130,90,55,4
1,0,300,70,30,35,75,50,40,1
1,0,390,85,45,50,90,65,55,1
1,0,490,100,70,65,105,80,70,1
1,0,335,50,100,35,40,40,70,3
1,0,515,80,120,65,70,80,100,3
1,0,300,30,30,100,80,40,20,8
1,0,390,45,45,115,95,55,35,8
1,0,495,55,65,130,120,80,45,8
1,0,410,65,65,55,85,50,90,2
1,0,500,80,80,70,100,65,105,2
1,0,315,40,40,65,65,90,15,3
1,0,490,100,80,110,75,95,30,3
1,0,590,130,80,180,75,95,30,3
1,0,325,95,55,70,35,25,45,11
1,0,465,120,70,95,60,50,70,11
1,0,352,58,62,55,65,52,60,0
1,0,310,35,35,45,85,35,75,0
1,0,460,60,60,70,110,60,100,0
1,0,325,45,70,55,45,65,45,3
1,0,475,70,95,80,70,90,70,3
1,0,325,40,50,50,80,80,25,6
1,0,500,65,100,75,105,105,50,6
1,0,305,45,25,100,65,30,40,3
1,0,525,85,45,180,95,50,70,3
1,0,310,100,35,30,35,30,80,10
1,0,405,115,55,45,50,45,95,10
1,0,500,130,75,60,65,60,110,10
1,0,600,170,95,80,65,60,130,10
1,0,385,30,45,160,45,35,70,8
1,0,328,43,90,45,48,60,42,12
1,0,483,73,115,70,73,85,67,12
1,0,325,25,25,90,105,30,50,3
1,0,475,50,50,115,130,55,75,3
1,0,330,55,55,50,30,40,100,11
1,0,480,80,80,70,50,60,140,11
1,0,325,60,45,80,40,60,40,1
1,0,520,125,65,85,95,95,55,1
1,0,320,40,50,95,50,50,35,7
1,0,425,50,80,110,80,60,45,7
1,0,455,35,110,53,120,50,87,4
1,0,455,35,110,79,105,50,76,4
1,0,385,60,75,75,55,90,30,0
1,0,340,60,45,95,65,40,35,6
1,0,490,85,70,120,90,65,60,6
1,0,345,30,30,95,85,80,25,7
1,0,485,45,45,120,130,105,40,7
1,0,450,35,105,5,5,250,50,0
1,0,435,100,40,115,55,65,60,1
1,0,490,40,80,80,95,105,90,0
1,0,590,60,100,100,125,105,100,0
1,0,295,70,25,70,40,30,60,3
1,0,440,95,45,95,65,55,85,3
1,0,320,35,50,60,67,45,63,3
1,0,450,65,80,65,92,80,68,3
1,0,340,70,55,55,45,30,85,3
1,0,520,100,85,85,75,60,115,3
1,0,460,100,120,65,45,40,90,12
1,0,500,55,80,80,110,70,105,9
1,0,455,115,95,35,50,65,95,13
1,0,490,95,85,57,83,65,105,11
1,0,495,100,85,57,95,65,93,2
1,0,500,55,70,100,125,65,85,9
1,0,600,65,90,120,155,65,105,9
1,0,490,40,70,95,100,75,110,0
1,0,200,15,20,55,10,20,80,3
1,0,540,60,100,79,125,95,81,3
